Chunk_ID,Country_KR,Country_Code,PDF_File,Page,Chunk_On_Page,Sector_Tag,Text,Text_Length,Extraction_Method,Source_SHA256,Content_SHA256,Citation,Duplicate_Text_Count,Valid_Chunk
CPS-BGD-p01-01,방글라데시,BGD,BGD.pdf,1,1,CPS 정책전략,"방글라데시 국가협력전략 Country Partnership Strategy for People's Republic of Bangladesh 2022. 1. 관계부처 합동 동 전략은 수원국 정부와의 긴밀한 협의 하에 작성되었으며, 국내 및 수원국 현지의 상황에 따라 변경 가능함",154,vision-ocr:ko-KR+en-US,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,a79121ef627432004ae252b8aa9bc3d9a4b002b85b199f3d97e390f4526cc066,CPS 방글라데시 국가협력전략 BGD.pdf p.1,1,True
CPS-BGD-p02-01,방글라데시,BGD,BGD.pdf,2,1,CPS 정책전략,목 차 I. 전략적 중요성 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 1 1. 전략적 중요성· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 1 2. 개발협력 수요· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 2 3. ODA 추진 SWOT 분석· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 3 II. 수원국 분석 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 5 1. 국가개발전략· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 5 2.,982,pypdf,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,210c9d7dd5b79df882fdad798b9e3e6a094cdf09efe88aba27a6a6df14be5f72,CPS 방글라데시 국가협력전략 BGD.pdf p.2,1,True
CPS-BGD-p02-02,방글라데시,BGD,BGD.pdf,2,2,CPS 정책전략,· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 5 2. 수원체계· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 6 3. 수원국 거시분석 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 7 III. 우리나라의 지원계획· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 9 1. 기본 방향· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 9 2. 분야별 수요 분석· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 11 3.,929,pypdf,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,29b14ee7b77d8b1456b91872fb9e001374cc5da427fb4837b0def6c392e25d59,CPS 방글라데시 국가협력전략 BGD.pdf p.2,1,True
CPS-BGD-p02-03,방글라데시,BGD,BGD.pdf,2,3,CPS 정책전략,· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 11 3. 분야별 지원 방안 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 15 4. 이행점검방안 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 19 IV. 이행전략 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 21 V. 모니터링 및 평가계획 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 24 1. 모니터링 방안 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 24 2.,892,pypdf,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,f087cc20be1d87e9bc23a0af16e81d18ca279f9d71c39080b419ed3db27b2a32,CPS 방글라데시 국가협력전략 BGD.pdf p.2,1,True
CPS-BGD-p02-04,방글라데시,BGD,BGD.pdf,2,4,CPS 정책전략,· · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 24 2. 평가계획 · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · · 25,289,pypdf,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,c161c4af45c9b220d1c68e56fd19c36e5b1b342460b13350d6d665082d7cf1f1,CPS 방글라데시 국가협력전략 BGD.pdf p.2,1,True
CPS-BGD-p03-01,방글라데시,BGD,BGD.pdf,3,1,CPS 정책전략,"Ⅰ. 전략적 중요성 1 전략적 중요성 ㅇ (높은 성장세) 고도 경제성장 속 풍부한 성장잠재력을 보유한 국가로, 코로나로 인한 경제충격에도 ‘20년 3%대 GDP 성장 달성 및 ‘21년 4% 성장 예상 * GDP성장률(IMF) : (‘17년) 7.3% → (‘18년) 7.9% → (‘19년) 8.2% → (20년) 3.8% - 경제성장과 더불어 주요 사회지표 개선으로 최빈국(LDC) 졸업이 가시화 되는 등 동국 최우선 목표인 ’빈곤감소·포용성장‘ 가속화 기대 ㅇ (지정학적 중요성) 중국, 인도 등 주요 인접국과의 접근성과 벵골만을 통한 해상 연결성 등을 활용, 서남아지역 전략적 요충지로서 역할 가능 - 지정학적 중요도를 바탕으로 중국의 ‘해상 실크로드 전략’, 일본의 ‘벵골만 산업벨트 이니셔티브' 등 주요 강대국 개발계획의 거점으로 급부상 ㅇ (풍부한 협력규모) 우리 ODA의 중점협력국이자 주요 교역파트너로 대두되는 등 향후 아국과의 협력 규모 확대 가능성 풍부 - ’10년 이후 방글라데시에 대한 ODA 지원실적은 6.8억불(순지출) 수준으로 양자 협력국 중 상위 3위에 해당되며, 코로나 충격이 있었던 ’20년을 제외하고 최근 3년간 한국과의 교역규모는 지속적인 증가 추세* * 양국간 수출입규모 추이(관세청) : (‘17년) 15.6억불 → (‘18년) 15.8억불 → (‘19년) 16.8억불",676,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,4a295d5f41b43643d6a6cd06a68156997f0ef48ba698ade42ae047f839636136,CPS 방글라데시 국가협력전략 BGD.pdf p.3,1,True
CPS-BGD-p04-01,방글라데시,BGD,BGD.pdf,4,1,기술환경에너지,"2 개발협력 수요 ㅇ (교육) 방글라데시는 성인 문맹률 감소, 기본교육 확대 등 기존 교육 분야 개발성과에 이어, 인적자원의 생산성 향상을 위한 직업기술 교육 강화 및 ICT를 활용한 교육 프로그램 확산을 주력 추진 중 - 이에, 인적자원 육성을 위한 인프라 건설 및 교육 훈련 프로그램 수립, ICT를 활용한 교육인프라 확대 등의 협력수요가 높은 상황 ㅇ (에너지·교통) 고도 경제성장 속 경제인프라 구축이 최우선 과제로, 특히 발전소 신설 및 송전망 개선 등의 에너지 인프라 확충과 지역간 물류, 교통 연결성 확대를 위한 대형 교통인프라 개발을 중점 추진 - 방글라데시의 개발계획인 「제8차 5개년 계획」상 에너지·교통 분야의 대규모 인프라 투자사업 추진을 강조하는 등 향후 원조자금 및 민간 재원을 활용한 개발협력 수요가 더욱 확대될 것으로 전망 ㅇ (보건·사회보호) ’방‘ 정부는 공공보건시스템 구축, 코로나 대유행 극복을 위한 의료시설 확충을 중점 추진하고 있으며, 사회보장제도 개선을 개발계획 상 중점추진 분야로 선정하는 등 노력중 - 의료시설 및 전문 의료인력 양성 인프라 확충, 소외계층 고용 안정 및 금융지원 제도 수립을 위한 투자 예산을 확대 편성하는 등 관련 개발수요 확대 예상 ㅇ (수자원 및 위생) ’방‘ 정부는 ’방글라데시 델타 계획 2100*‘ 수립 등 깨끗한 물공급 및 수자원 관리, 폐기물 처리를 통한 위생환경 개선을 최우선 분야로서 추진 중 * Bangladesh Delta Plan 2100 : ‘18년 수립된 방글라데시 정부의 기후변화 및 재해대응 적응 전략으로, 침수 및 홍수 예방, 물공급 환경 개선, 친환경시스템 강화 등에 집중",822,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,fe6f18469b79bc26f0f6f555c70f2232ce1d08d9ae8c69c5d326a59389e44648,CPS 방글라데시 국가협력전략 BGD.pdf p.4,1,True
CPS-BGD-p05-01,방글라데시,BGD,BGD.pdf,5,1,기술환경에너지,"- 우리나라의 우수한 수자원 및 폐기물 관리·처리 기술 등 친환경 기술(K-그린) 확산을 통한 개발협력 활성화 기대 ㅇ (ICT) ’방‘ 정부는 공공행정, 의료, 교육 등 범분야에 적용되는 ICT 확산을 위한 ’디지털 방글라데시 전략*’를 공표하고 전산시스템 통합 등 인프라 개발 및 정부 정책 수립을 촉진 중 * Digital Bangladesh : ‘09년 발효되어 ICT 환경 확대를 통한 국민 생산성 향상 및 복리 증진을 위해 발표된 ‘방’ 정부의 디지털화 전략 - ICT 부문에 대한 높은 개발수요로 인해 한국의 디지털 정부 성공사례 전파 등 우리 ICT 부문 비교우위를 활용한 협력 활성화 기대 3 ODA 추진 SWOT 분석 □ 한국 對 방글라데시 관계 ㅇ (외교관계) 1973. 12. 18자 수교 ㅇ (주요 협정체결) 무역경제협력협정(‘73), 이중과제방지조약(‘83), 투자보장 협정(‘86), 과학기술협력협정(‘95), 대외경제협력기금차관협정(‘97), 군수 방위산업협력양해각서(‘04), 무상원조협정(‘14) 등 ㅇ 對 방글라데시 교역·투자 현황 (단위: 억불) 구 분 2017년 2018년 2019년 2020년 수 출 12.76 12.38 12.82 10.33 수 입 2.86 3.47 4.05 3.93 무역수지 9.90 8.91 8.78 6.40 ODA(순지출) 0.34 0.69 0.99 1.02 (출처: 관세청, 국무조정실 ODA 통계) - ’17년 이후, 우리나라의 對방 교역규모는 평균 15억불 수준을 유지 하고 있으며, ODA 지원액 역시 확대 추이에 있음",777,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,f80b054d96121b3576275ec2b869e19b00b04269fa64ef634ca27526bc1f82e7,CPS 방글라데시 국가협력전략 BGD.pdf p.5,1,True
CPS-BGD-p06-01,방글라데시,BGD,BGD.pdf,6,1,공공행정,"□ 對방글라데시 ODA SWOT 분석(지원시 고려사항) Strength Weakness  중점협력국으로서 우리정부의 높은 원조 집중도  안정된 정치 및 고도 경제성장 지속 등  열악한 인프라 환경 보유 정치·경제 구조 양호  취약한 세수기반에 따른 재정수지 적자  중점분야(물관리 및 보건위생, 교통, 교육 등이 공공지출 확대의 제약요인으로 작용 등)에 대한 비교우위 보유  최빈국에서 공여국으로 성공적으로 전환한 우리의 경험 및 노하우 전수 가능 Opportunity Threat  중소득국 진입 본격화에 따른 대외신인도  최빈국 졸업시 관세, 무역 혜택폐지 등에 제고 및 해외투자 유입 확대 예상 따른 단기적 영향 불가피  주요 강대국의 대외정책 관련 지정학적  난민송환 문제 등 인근국과의 불안정한 입지 활용 가능 정치 관계 지속  정부 주도의 디지털화 전략 추진 등  아국 원조 지원시 통관문제 및 사업 아국 중점분야(ICT(범분야) 및 공공행정)에 관련 행정절차 지연에 따른 원조효과성 대한 높은 개발협력 수요 저하 우려  정부 주도의 인프라 투자 확대 추세,  코로나19 이후 경제·사회 펀더멘털 약화에 민관협력(PPP) 시장 확보 따라 원조사업 지연 가능성 상존",615,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,156ab57482f87f0b930122a7102ffcbf529c4b92938cfa53f6bcf8717679f659,CPS 방글라데시 국가협력전략 BGD.pdf p.6,1,True
CPS-BGD-p07-01,방글라데시,BGD,BGD.pdf,7,1,기술환경에너지,"Ⅱ. 수원국 분석 1 국가개발전략 □ 제8차 5개년 개발계획 ㅇ 방글라데시는 독립 70주년인 ’41년 고소득국가 진입 및 국민의 삶의 질 향상을 목표로 하는 “국가발전 장기계획 2041(Perspective Plan 2041)“을 수립 - 중기 실행계획인 “5개년 개발계획”의 수립 및 이행을 통하여 동 계획을 구체화 ㅇ 방글라데시는 제7차 5개년 계획의 성과 및 과제를 바탕으로 제8차 5개년 계획(8th Five Year Plan, FY‘21-’25)을 수립·이행 중 - 동 계획은 ”경제번영 촉진 및 포용적 성장 확대(Promoting Prosperity and Fostering Inclusiveness)”를 기치로 하여, Perspective Plan 2041 상 3대 국가 개발목표* 달성을 위한 빈곤감소 및 포용성장을 추구 * ①FY31 상위중소득국(UMIC) 도달, ②FY31 절대빈곤 종식, ③FY41 고소득국(HIC) 도달 ㅇ 특히, 방글라데시는 동 5개년 계획상 코로나19 대유행 장기화에 따른 경제충격 극복 및 고용 확대 등을 당면과제로 인식하고, 빈곤 감소․포용성장을 위한 주요 전략과제를 제시 < 빈곤감소․포용성장 가속화를 위한 주요 전략과제 > ◇ 노동집약․수출중심 제조업 육성 ◇ 농산업 다변화 실현 ◇ 소기업 역동성 강화 ◇ 서비스업 강화 ◇ 관광 등 비요소 서비스업(non-factor service) 확대 ◇ ICT 기반 창업 환경 증진 ◇ 해외취업 강화",721,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,832690c64ba84a7badc5142bcad69301b965229414e847ba8d632fe2a90fdcb2,CPS 방글라데시 국가협력전략 BGD.pdf p.7,1,True
CPS-BGD-p08-01,방글라데시,BGD,BGD.pdf,8,1,기술환경에너지,"2 수원체계 □ 수원체계 ㅇ 재무부(Ministry of Finance) 산하 대외협력청(Economic Relations Division, ERD)이 對원조기관 협력을 전담하는 수원총괄기관으로 양·다자 공여 기관과의 긴밀한 협력을 위하여 노력 중 - 원조조화 및 원조 효과성 제고가 주요 정책과제로 부상함에 따라, 대외협력국은 산하 개발 효과 부서(Development Effectiveness Unit)를 설치하여 기관 간 수원업무 조정 □ 공여국 협력 체계 ㅇ 공여국 정부· 공여기관· 방글라데시 정부 간 협의체인 현지컨설턴트 그룹(Local Consultative Group, LCG) 설치 및 운영 중 - 방글라데시 대외협력국장(ERD Secretary) 및 공여국 · 기관 대표가 LCG 의장직을 공동 수임 - 빈곤·교육·보건·ICT·환경·기후변화대응·거버넌스 등 18개 작업반 (Working Group)을 운영 중으로, 현재 50여개 원조기관이 참여 중 * 상임이사: UN, ADB, WB ** 임시이사: 매년 순차적 선정 < 방글라데시 정부 – 공여국 및 기관 간 협력 체계 > 자료: Aid Effectiveness Unit(2013)",589,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,cb1fea81c682b75bdcafea0a731cb5c19f15a109c02c98290a48451e1e6aa916,CPS 방글라데시 국가협력전략 BGD.pdf p.8,1,True
CPS-BGD-p09-01,방글라데시,BGD,BGD.pdf,9,1,공공행정,3 수원국 거시 분석 □ 신용위험 ㅇ (외환보유) ‘20년 이후 코로나19 충격에도 불구하고 해외송금액 및 원조자금 유입 등에 힘입어 외환보유액은 지속 증가 추세 ㅇ (외채현황) 정부의 만성적 재정적자를 외채로 보전하는 구조로 외채규모는 지속 증가 추세이나 GDP 대비 총 외채잔액 비중은 20% 초반대로 안정적 수준을 유지 중 - 또한 외채 대부분이 장기의 양허성 차관으로 구성되어 있어 최근 외채규모 급증에도 불구 외채구조 측면은 양호 ㅇ (외채상환) OECD 회원국 ECA 금융지원액의 연체율이 미미*하며 ’07년 이후 파리클럽을 통한 채무재조정 경험이 없는 등 전반적 외채상환 태도가 양호 * OECD ECA 지원액 연체율(‘20.3월말) : 약 0.38% 수준 ㅇ (국가신용등급) ’15년도 OECD 국가신용등급 상향 조정(6→5등급 (‘15.6월)) 이후 현재까지 유지중 <주요 기관의 국별신용등급 현황 > 구 분 최근 평가등급 종전 평가등급 OECD 5등급 (2021.6월) 5등급 (2020.6월) Moody's Ba3 (2021.4월) Ba3 (2020.3월) S&P BB- (2020.8월) BB- (2019.5월) Fitch BB- (2020.11월) BB- (2020.11월) □ 재정건전성 관리능력 ㅇ (경제성장) 코로나19 여파에 따른 ’20년을 제외하고는 연평균 6% 대의 성장률을 보이는 등 유사 경제규모의 타 국가 대비 높은 경제성장률 시현 중 - 코로나로 인해 위축되었던 상품 수출 등이 회복되며 ‘21년도에는 경제성장률 4%대 상승이 전망되는 등 팬데믹으로 인한 일시적 경제 충격 등으로부터 완만하게 회복 중,807,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,3a75103fb77acda741101c2823eeaa0f09b019b50a850530423278815aed6a9e,CPS 방글라데시 국가협력전략 BGD.pdf p.9,1,True
CPS-BGD-p10-01,방글라데시,BGD,BGD.pdf,10,1,공공행정,"ㅇ (경상수지) 주요 원부자재 및 민간 소비재의 대부분을 수입에 의존하고 있어 만성적인 상품수지 적자를 기록하고 있으나, 해외근로자 송금 및 원조자금 유입으로 경상수지 적자폭 감소 중 ㅇ (재정수지) 빠른 경제성장에 불구하고 취약한 세수기반 및 비효율적 세제 시스템 등으로 인해 GDP 대비 조세수입 비중은 약 9%에 불과 - 정부는 단기적으로 재정지출 삭감, 대외차입 등에 의존하여 적자를 보전 중이며, 중장기적으로 공공재정 관리체계 고도화를 통해 재정적자 규모를 점진적으로 줄여나가고자 노력 중 < 방글라데시 주요 경제지표(대외 및 외채) > 경제지표 단위 2017 2018 2019 2020 2021* 경제성장률 % 7.3 7.9 8.2 3.8 4.4 재정수지/GDP % △3.3 △4.6 △5.4 △6.8 △6.1 경상수지 백만 달러 △5,985 △7,095 △3,434 △840 △2,695 경상수지/GDP % △2.4 △2.6 △1.1 △0.3 △0.8 상품수지 백만 달러 △12,966 △17,284 △15,912 △12,924 △13,739 수출 백만 달러 35,301 38,682 38,759 30,813 37,346 수입 백만 달러 48,267 55,966 54,671 43,737 51,085 외환보유액 백만 달러 31,289 29,973 30,648 35,690 36,190 총외채잔액 백만 달러 54,737 60,356 70,340 77,016 80,079 총외채잔액/GDP % 21.9 23.2 21.4 21.5 21.2 단기외채 백만 달러 13,579 15,733 15,733 15,733 - 외채상환액/총수출 % 6.0 7.1 7.1 8.9 8.3 * 2020년 수치는 추정치, 2021년 수치는 전망치임 자료: 한국수출입은행(2020).",877,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,7a9ee03cc4d709c5b344a23fa4c451d278f19156f5a41ed09825297cbcf365c6,CPS 방글라데시 국가협력전략 BGD.pdf p.10,1,True
CPS-BGD-p10-02,방글라데시,BGD,BGD.pdf,10,2,CPS 정책전략,"채 백만 달러 13,579 15,733 15,733 15,733 - 외채상환액/총수출 % 6.0 7.1 7.1 8.9 8.3 * 2020년 수치는 추정치, 2021년 수치는 전망치임 자료: 한국수출입은행(2020). 2021 세계국가편람 □ 정치적 상황 ㅇ (국내상황) 셰이크 하시나 총리가 이끄는 아와미 연합의 집권이 계속되고 있으며, 중기적으로 현 여당 장기 집권이 전망되는 등 역내 정치상황은 비교적 안정적 * 아와미 연합은 ‘09년 집권이후 ‘13 및 ‘18년 총선시 하시나 총리의 연임에 성공하며 ‘23년말까지 집권을 이어나갈 것으로 전망 ㅇ (국제관계) 주변 강대국들의 이해관계 속에서 실리주의 외교 노선 견지",347,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,7cddabb8c02bf7ed053fe1edca47e8d0f321106bb4428df405e16d1bbc077ac2,CPS 방글라데시 국가협력전략 BGD.pdf p.10,1,True
CPS-BGD-p11-01,방글라데시,BGD,BGD.pdf,11,1,기술환경에너지,"Ⅲ. 우리나라의 지원계획 1 기본 방향 방글라데시 CPS 방글라데시의 경제성장 가속화를 통한 사회경제적 환경 개선 추진목표 6대분야 중점지출을 통한 빈곤감소·포용성장 달성 방글라데시 ▪(보건) 방글라데시 공공 보건 시스템 전반 재구축 ▪(사회보호) 소득 빈곤선 인근 계층의 재추락 방지 5개년 개발계획 ▪(교육) 공교육·직업기술교육 강화, ICT 교육 확산 Five Year Plan, ▪(수자원) 수자원관리사업을통해효과적기후변화영향대응 2021~2025 ▪(전력·교통) 전력, 교통부문대형인프라성료및PPP진흥추진 ▪(지역개발) 농산업및농촌지역인프라구축확대 ▪ 인적자원육성을통한국가경쟁력강화 ▪ 교통인프라 확충 및 물류체계 개선을 통한 경제성장 가속 한국의 ▪ 수자원 관리 능력 증진 등 기후변화 대응 지원 지원목표 ▪ 보건위생 및 의료서비스 접근성 강화 ▪ 전자정부 및 공공부문 역량 지원을 통한 거버넌스 개선 ▪ICT 기반교육인프라구축을통한ICT 교육확산및품질제고 교육 ▪직업기술교육 훈련 프로그램 확대를 통한 인적자원 육성 분야 ▪초중등교육 교육 정보화 등 공교육 프로그램 강화 중 ▪교통인프라 공급을 통한 지속가능 경제성장 기반 구축 점 교통 및 지역간 연결성 강화 지원 분 분야 ▪민간재원을 활용한 PPP방식 교통부문 인프라 투자 확대 야 ▪ICT 기반 교통인프라 확산 별 ▪물 공급·처리시설 확충을 통한 깨끗한 식수 및 위생시설의 물관리 지 및 접근성제고, 관리역량강화로기후변화전략인‘델타2100’ 지원 원 보건위생 ▪안정적 보건의료 서비스 제공 및 보건의료체계 구축 방 분야 향 ▪ICT 기반 보건 진료시스템 확충 ▪전자정부 확대를 통한 공공행정 투명성, 효율성 제고 공공행정 ▪공공부문 역량 강화 지원 등을 통한 행정 효율성 제고 분야 ▪ICT를 통한 정부 거버넌스 강화 지원",890,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,33a93c5b1e63cb7dcc22beb46ae44ec4afa781f23acee0e8750b52a847af25bd,CPS 방글라데시 국가협력전략 BGD.pdf p.11,1,True
CPS-BGD-p12-01,방글라데시,BGD,BGD.pdf,12,1,기술환경에너지,"□ (지원 목표) 방글라데시의 국가발전 장기계획 2041(Perspective Plan ’41) 및 제8차 5개년 계획(8th Five Year Plan, FY ’21-‘25) 달성 지원, ’경제 번영 촉진 및 포용적 성장‘를 위한 방 정부의 계획 수립 및 이행을 지원 □ (중점협력 분야 및 선정사유) 방글라데시의 국가개발계획, 한국의 원조 역량 및 경험, 기회·장애요소, 예상 재원 규모, 타 공여국과의 공동협력, 분야 간 연계성을 고려 → 중점협력 4개 분야를 선정 ㅇ (교육) 진학률 등 기초·고등교육 여건은 점차 개선되고 있으나 직업 교육 체계 현대화 등 산업수요에 부합하는 양질의 직업기술 교육 제공을 통한 숙련된 기술인력 양성이 필요 → ICT 기반의 교육시설 및 양질의 직업교육 접근성 향상을 통해 ‘방’ 개발계획 상 숙련된 인적자원 개발 목표 달성 지원 ㅇ (교통) 고도성장세 속에도 미흡한 교통인프라 여건이 민간자본 유치, 해외기업의 시장진출 등을 저해하는 요인으로 꼽히며 동국의 지속 가능 경제성장의 걸림돌으로 작용 → 철도·도로 인프라 및 ICT 접목 교통 분야 사업을 적극 발굴하는 한편 PPP 방식 등 민간재원을 활용한 대형 교통인프라 추진을 통해 ‘방’ 정부의 인프라 투자 확대 전략 지원 필요 ㅇ (물관리 및 보건위생) 고도성장에 따른 기후 영향 심화가 가시화되고 있으며, 공공의료시설 부족 및 의료보험 제도 미비 등으로 높은 의료비 지출에도 불구하고 소외계층 의료지원 체계 보완 필요 → 수자원관리 사업 추진 등을 통해 “방글라데시 델타계획 2100” 등 기후변화 대응 노력을 적극 지원하는 한편, ICT를 접목한 전문 의료시설 확충 및 의료분야 인력 역량 강화가 필수적 ㅇ (공공행정) 행정체계의 효율성·투명성 제고가 외자유치 및 기업환경 개선 달성 등 방글라데시의 지속가능 경제성장을 위해 필수적 → 아국의 디지털정부 성공사례 등을 벤치마킹하여 ICT를 활용한 전자정부 분야 사업추진 및 공무원 대상 교육 프로그램 제공을 통한 행정 효율성 제고, 국민들의 공공서비스 접근성 지원 필요",1017,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,f14d9dd19fa7cd1d402a2af682ee7cc51660223146d3bdefd130ce5ccc674e20,CPS 방글라데시 국가협력전략 BGD.pdf p.12,1,True
CPS-BGD-p13-01,방글라데시,BGD,BGD.pdf,13,1,교육,"2 분야별 수요 분석 (1) 교육 분야 □ 개발수요 ㅇ 방글라데시는 초·중·고등교육 의무화, 문맹 퇴치, 과학기술교육 고도화 등을 통한 인간개발지수 향상 및 지식기반사회 구축을 추진 중 ㅇ 특히, 방글라데시는 인적자원 양성체계 구축을 통하여 양질의 인력을 각 산업부문에 공급하고, 여성 및 소외지역내 교육기회 보장 및 취업률 제고 등 노동생산성 향상을 경제성장을 위한 전략 방향으로 상정 중 - 또한, 방글라데시는 국내 실업문제 해소 및 성장동력 확보 차원에서 해외 취업 확대를 적극 추진하고 있으며, 특히 대외 노동수요에 부응 하는 숙련 기술근로자 양성에 큰 관심을 표명 중 * ‘20년 방글라데시의 해외송금액은 동 기간 GDP의 6.6% 수준인 217.5억불에 육박, 방글라데시 경제성장의 주축이자 주요 외자 유입 경로 - 또한 4차 산업혁명 시대를 대비하여 방글라데시 정부는 로봇, 인공 지능 등 ICT 관련 고등교육을 강화할 필요성도 존재 □ 한국의 원조역량 ㅇ 우리나라는 산업인력 양성 등 인적자원개발을 통한 산업화 성공 경험을 보유하고 있으며, ▴직업훈련모델 개발, ▴자동차· 엔지니어링 · 전기/전자 · ICT 등 분야 직업교육훈련 등에 강점 보유 - 특히 최근 방글라데시 인프라 프로젝트 참여를 위한 건설 · 엔지 니어링 업체 및 유망시장 공략을 위한 제조업체 등 진출이 확대 되고 있어 직업교육-취업 간 연계기반 또한 확대 예상",696,pdfplumber,6d217b395c68199759374db1868b1fc909f5baec8e40e19cf2b2e6bb68e8dba3,441b32b528c198516eb51449063c14d05cd16c56ae688b5700a110bc793e2521,CPS 방글라데시 국가협력전략 BGD.pdf p.13,1,True
